publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2000,Caso principal,34.71
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2000,Caso principal,0.26
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2000,Caso principal,0.42
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2000,Caso principal,0.05
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2000,Caso principal,16.87
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2000,Caso principal,8.41
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2000,Caso principal,787.66
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2000,Caso principal,0.09
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2000,Caso principal,0.73
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2001,Caso principal,36.72
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2001,Caso principal,0.26
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2001,Caso principal,0.25
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2001,Caso principal,0.05
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2001,Caso principal,23.82
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2001,Caso principal,8.1
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2001,Caso principal,794.82
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2001,Caso principal,0.1
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2001,Caso principal,1
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2002,Caso principal,38.49
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2002,Caso principal,0.26
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2002,Caso principal,0.2
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2002,Caso principal,0.22
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2002,Caso principal,30.36
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2002,Caso principal,8.25
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2002,Caso principal,808.54
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2002,Caso principal,0.13
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2002,Caso principal,1.34
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2003,Caso principal,41.82
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2003,Caso principal,0.26
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2003,Caso principal,0.39
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2003,Caso principal,0.51
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2003,Caso principal,37.84
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2003,Caso principal,8.28
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2003,Caso principal,829.14
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2003,Caso principal,0.15
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2003,Caso principal,1.85
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2004,Caso principal,43.92
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2004,Caso principal,0.26
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2004,Caso principal,0.39
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2004,Caso principal,0.61
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2004,Caso principal,46.52
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2004,Caso principal,8.32
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2004,Caso principal,851.13
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2004,Caso principal,0.22
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2004,Caso principal,2.88
