Country,2024 [1],2025 [2],2025 [3]
United States,2725.0,3733.5,3953
Indonesia,2638.8,2431.9,2742
Philippines,1951.8,1937.0,2034
Türkiye,1734.338,1726.11,1797
New Zealand,1275.4,1376.7,1259
Mexico,998.5,941.0,976
Kenya,939.73,816.5,980
Iceland,787.58,779.4,808
Italy,771.79,834.0,916
Japan,489.054,618.2,607
Costa Rica,262.66,253.0,
El Salvador,209.4,211.2,
Nicaragua,165.44,158.6,
Chile,83.58,81.0,
Russia,81.4,50.0,
Papua New Guinea,51.0,30.0,
Guatemala,49.2,46.0,
Germany,44.0,18.9,
Honduras,39.0,35.0,
Portugal,29.1,24.0,
China,25.75,,
France,16.15,1.7,
Croatia,10.0,36.1,
Taiwan,7.489,5.2,
Ethiopia,7.3,0.0,
Hungary,3.0,3.4,
Thailand,0.3,,
Austria,0.25,,
Australia,0.1,0.0,
Armenia,,0.0,
Bangladesh,,0.0,
Bolivia,,0.0,
Canada,,5.0,
Colombia,,0.0,
Dominica,,0.0,
Ecuador,,0.0,
Greece,,0.0,
Guadeloupe,,15.0,
Iran,,5.0,
Laos,,0.0,
Montserrat,,0.0,
Peru,,0.0,
Saint Kitts and Nevis,,0.0,
Saint Vincent and the Grenadines,,0.0,
Slovakia,,0.0,
Solomon Islands,,0.0,
Switzerland,,0.0,
Tanzania,,0.0,
Uganda,,0.0,
United Kingdom,,0.0,
Zambia,,0.0,
Zimbabwe,,0.0,
